"","JMBAG","Predavanja","Labos","Status","Broj.ponavljanja","Rang.matura","Srednja.škola","Spol","Dvorana","Pitanje.1","Pitanje.2","Pitanje.3","Pitanje.4","Pitanje.5","Pitanje.6","Pitanje.7","Pitanje.8","Pitanje.9","Pitanje.10","Broj.bodova"
"407","yxmisfrtaz",1.06,"1.01-24","redoviti",NA,NA,"gimnazija","M","D273","E","-","D","C","B","D","E","A","C","B",13.5
"408","rojcplykhi",1.02,"1.01-13","redoviti",NA,NA,"","M","D346","D","D","B","B","A","A","E","-","C","-",13.5
"409","vewzlcxuoy",1.04,"1.01-29","redoviti",NA,NA,"","M","D346","-","D","D","C","A","C","E","-","C","B",13.5
"410","qztfemjoxy",1.07,"-","ponavlja",1,NA,"gimnazija","M","A111","E","B","A","C","B","D","E","A","C","B",13
"411","nmyfxlboek",1.02,"1.01-13","redoviti",NA,NA,"gimnazija","M","A202","E","-","D","A","A","-","E","-","C","B",13
"412","nomudewgsf",1.09,"-","ponavlja",1,NA,"","M","A211","E","D","D","B","-","A","-","A","-","B",13
"413","usozpdxeay",1.07,"1.01-16","redoviti",NA,NA,"gimnazija","F","A301","-","D","B","C","C","-","E","-","C","B",13
"414","ufdsobcvjr",1.09,"1.01-09","ponavlja",1,NA,"","M","A302","B","D","D","E","B","A","E","A","C","B",13
"415","rznyswqfud",1.09,"-","ponavlja",1,NA,"","M","A302","E","-","-","C","-","A","E","-","C","-",13
"416","laqjzicnft",1.08,"1.01-27","redoviti",NA,NA,"tehni?ka","M","B2","-","D","B","C","B","A","-","-","C","B",13
"417","vqrjkhclai",1.04,"1.01-28","redoviti",NA,NA,"","F","B4","E","D","B","C","-","-","-","A","C","A",13
"418","cowgynpumh",1.03,"1.01-16","redoviti",NA,NA,"gimnazija","M","B4","E","D","D","E","B","C","E","A","C","B",13
"419","ajdobsievx",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","F","D2","D","D","B","C","-","-","E","-","C","B",13
"420","kxahnspqmr",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","D260","B","D","-","C","B","-","E","A","C","B",13
"421","hvmxykfpns",1.03,"1.01-14","redoviti",NA,1,"tehni?ka","M","D260","A","-","B","C","C","-","E","A","C","B",13
"422","rqipfenacy",1.09,"-","ponavlja",1,115,"gimnazija","M","A201","E","-","D","C","-","A","-","-","C","B",12.5
"423","yazpnvkwxj",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","A201","E","-","D","C","A","-","-","-","C","B",12.5
"424","ydakpcutxh",1.05,"1.01-27","ponavlja",1,NA,"tehni?ka","M","A202","E","D","D","C","C","A","B","-","C","B",12.5
"425","efnhjgmdcw",1.09,"-","ponavlja",1,NA,"","F","A301","-","-","D","C","-","A","E","-","C","B",12.5
"426","avikufsbqz",1.08,"1.01-25","redoviti",NA,593,"gimnazija","M","B2","E","-","-","D","A","C","E","A","C","-",12.5
"427","zmqponysre",1.08,"-","ponavlja",1,NA,"","M","C12-02","-","D","D","C","A","C","D","A","C","B",12.5
"428","uznkwiltfq",1.01,"1.01-05","redoviti",NA,NA,"gimnazija","F","D1","-","-","D","C","-","-","E","A","C","B",12.5
"429","xiocnsrwva",1.05,"1.01-01","redoviti",NA,NA,"","M","D1","E","C","B","C","B","A","B","-","C","B",12.5
"430","fytviawlnk",1.04,"-","ponavlja",1,NA,"","M","D152","D","D","B","B","-","A","D","A","C","B",12.5
"431","mkfgqtpjod",1.05,"1.01-08","redoviti",NA,NA,"gimnazija","M","D2","E","D","B","B","B","A","C","-","C","B",12.5
"432","zhukrsqwyf",1.03,"1.01-23","redoviti",NA,NA,"gimnazija","M","D2","E","-","D","C","A","-","-","-","C","B",12.5
"433","ocmlxvnaqe",1.06,"1.01-24","redoviti",NA,NA,"gimnazija","M","D272","E","-","D","C","-","-","-","A","C","B",12.5
"434","yjiehsnwdl",1.01,"1.01-06","redoviti",NA,NA,"gimnazija","M","D346","-","D","D","-","-","A","E","-","C","B",12.5
"435","giejahcvun",1.06,"1.01-24","redoviti",NA,NA,"","F","D346","-","D","D","C","B","A","A","A","C","B",12.5
"436","kzhmbpcxqo",1.05,"1.01-03","redoviti",NA,NA,"","M","A201","E","-","-","C","A","-","C","-","C","B",12
"437","ojbwxzfeqg",1.07,"1.01-09","redoviti",NA,NA,"","M","A202","A","D","B","C","A","-","-","A","C","C",12
"438","kbqzfnjloi",1.04,"1.01-31","redoviti",NA,237,"gimnazija","M","A209","E","D","B","C","-","A","-","-","-","-",12
"439","tlbyfwdizk",1.02,"1.01-15","redoviti",NA,NA,"gimnazija","M","A209","A","-","-","C","-","A","E","A","C","-",12
"440","omcgezdisy",1.02,"-","ponavlja",1,NA,"","M","A211","E","D","B","C","C","-","E","-","C","A",12
"441","xqjfazbtkm",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","M","A211","E","D","B","-","-","-","-","-","C","B",12
"442","cvhriklyeo",1.02,"1.01-12","redoviti",NA,NA,"","F","B1","-","-","B","C","A","-","-","-","C","B",12
"443","tqowgxkufy",1.03,"1.01-22","redoviti",NA,554,"gimnazija","M","B4","-","-","B","C","A","-","-","-","C","B",12
"444","wvgsecrxah",1.08,"1.01-25","redoviti",NA,NA,"gimnazija","M","D1","D","D","B","C","A","-","B","A","C","-",12
"445","xwndjupisz",1.07,"1.01-16","redoviti",NA,NA,"","M","D260","-","-","-","C","C","A","-","A","C","B",12
"446","xwbavdtuno",1.06,"1.01-18","redoviti",NA,NA,"","M","D272","E","-","B","C","A","D","-","-","-","B",12
"447","ckdjfzlxsr",1.03,"1.01-20","redoviti",NA,NA,"","M","D273","E","-","-","C","D","A","-","-","C","B",12
"448","pldsirqghj",1.04,"1.01-30","redoviti",NA,NA,"tehni?ka","M","D346","E","C","D","C","A","-","-","-","C","B",12
"449","dcqoiwxyea",1.01,"-","ponavlja",1,NA,"","M","A111","D","D","B","C","A","D","D","A","D","B",11.5
"450","zaijkpdeur",1.08,"1.01-27","redoviti",NA,NA,"","M","A201","E","D","D","C","-","-","-","-","C","B",11.5
"451","vbruadshnz",1.01,"1.01-07","redoviti",NA,223,"gimnazija","M","A202","E","D","D","C","A","-","-","-","C","-",11.5
"452","hmwzibvkje",1.01,"1.01-24","redoviti",NA,340,"tehni?ka","M","A202","-","D","D","C","A","-","-","-","C","B",11.5
"453","zayfrbqmpn",1.03,"-","ponavlja",1,NA,"gimnazija","F","A209","-","E","E","C","A","A","E","C","A","B",11.5
"454","nfwgjzmtpa",1.04,"1.01-28","redoviti",NA,NA,"","M","A211","D","D","D","C","D","A","A","A","C","B",11.5
"455","gvfcudmetj",1.08,"1.01-27","redoviti",NA,NA,"","M","A211","E","D","D","C","A","-","-","-","C","-",11.5
"456","tszbunhfck",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","M","A211","E","-","B","E","-","D","E","-","C","B",11.5
"457","jqtrbcsgnm",1.03,"1.01-20","redoviti",NA,NA,"","M","A302","D","-","D","C","A","-","E","-","C","B",11.5
"458","naipslczrf",1.05,"1.01-08","redoviti",NA,NA,"","M","A302","A","-","D","C","A","-","E","-","C","B",11.5
"459","ivpncqsayb",1.07,"1.01-11","redoviti",NA,289,"gimnazija","F","B4","B","D","D","C","B","C","E","A","C","B",11.5
"460","bnszfgvtpd",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","M","B4","E","-","D","C","A","C","-","-","C","B",11.5
"461","ofvzqsxjtn",1.04,"1.01-30","redoviti",NA,NA,"","M","B4","B","-","D","C","A","A","-","-","C","B",11.5
"462","zovwrpmscb",1.03,"1.01-20","redoviti",NA,NA,"","M","D1","E","D","D","C","-","-","-","A","C","-",11.5
"463","lbfvtyzieh",1.04,"1.01-28","redoviti",NA,NA,"","M","D1","E","B","B","C","B","C","E","C","C","B",11.5
"464","grdsfcmkwx",1.01,"1.01-06","redoviti",NA,NA,"gimnazija","M","D2","-","D","D","C","A","-","-","-","C","B",11.5
"465","xqnvwtglhi",1.02,"1.01-14","redoviti",NA,158,"gimnazija","F","D2","D","D","D","C","B","A","A","A","C","B",11.5
"466","kgduleipya",1.02,"1.01-15","redoviti",NA,NA,"","M","D272","E","D","B","C","-","-","E","-","E","-",11.5
"467","avwybndfom",1.02,"1.01-13","redoviti",NA,NA,"","M","D273","E","B","D","C","-","A","D","A","B","B",11.5
"468","zmwiyqedpf",1.05,"1.01-02","redoviti",NA,NA,"gimnazija","M","A111","-","D","D","D","A","A","-","C","C","B",11
"469","stozehdyrm",1.03,"-","ponavlja",1,NA,"","M","A202","-","-","-","C","B","A","E","B","C","B",11
"470","xeqvizufta",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","A209","-","C","A","C","A","A","C","-","C","B",11
"471","hxjuabytgd",1.06,"1.01-19","redoviti",NA,NA,"gimnazija","M","A301","E","-","B","C","A","-","-","-","C","C",11
"472","maopvxkzbs",1.07,"1.01-11","redoviti",NA,NA,"","M","B1","-","D","-","C","B","A","-","-","C","B",11
"473","ikwoxgfqsz",1.09,"-","ponavlja",1,NA,"gimnazija","M","B1","E","D","B","C","B","-","E","-","-","-",11
"474","fumgbyinlh",1.04,"1.01-29","redoviti",NA,440,"tehni?ka","M","B2","-","-","B","C","A","A","-","-","C","A",11
"475","pztdmknofl",1.07,"1.01-10","redoviti",NA,NA,"gimnazija","M","B4","E","-","B","C","B","-","-","-","C","B",11
"476","atcqifpgyl",1.01,"1.01-05","redoviti",NA,NA,"","M","D1","-","-","B","C","-","C","E","A","C","-",11
"477","gvfpdoqehy",1.03,"1.01-20","redoviti",NA,NA,"","M","D2","E","D","D","C","-","A","E","-","E","A",11
"478","tzwlejbpxh",1.04,"1.01-30","redoviti",NA,470,"gimnazija","M","D260","-","D","B","C","-","-","-","A","C","-",11
"479","almzjpsgid",1.01,"1.01-07","redoviti",NA,NA,"","M","D260","E","-","-","C","B","-","D","A","C","B",11
"480","dzeknygobw",1.03,"1.01-22","redoviti",NA,NA,"gimnazija","M","D273","E","D","-","C","-","C","E","A","-","A",11
"481","xdilyjhskz",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","M","D346","D","-","-","C","D","-","E","A","C","B",11
